team,oaa,positioning,defense_factor,fielding_pct,errors_pg,dp_pg,cs_rate
ATH,1.331,0.47,0.9927,0.99,0.3673469387755102,0.6326530612244898,0.2727272727272727
ATL,0.691,0.429,0.9962,0.989,0.4,0.68,0.13333333333333333
AZ,-0.035,-0.431,1.0002,0.987,0.4583333333333333,0.6041666666666666,0.25806451612903225
BAL,-0.642,-0.31,1.0035,0.984,0.58,0.8,0.29411764705882354
BOS,0.032,-0.115,0.9998,0.987,0.46938775510204084,0.673469387755102,0.21428571428571427
CHC,-0.353,-0.251,1.0019,0.986,0.5,0.7,0.19148936170212766
CIN,1.211,1.265,0.9934,0.988,0.44,0.92,0.1956521739130435
CLE,0.853,0.66,0.9953,0.989,0.38461538461538464,0.7307692307692307,0.10638297872340426
COL,-0.235,0.221,1.0013,0.985,0.54,0.86,0.20408163265306123
CWS,-0.174,-0.186,1.0009,0.986,0.4897959183673469,0.7142857142857143,0.22413793103448276
DET,-0.089,0.233,1.0005,0.985,0.5294117647058824,0.8627450980392157,0.23809523809523808
HOU,2.312,1.697,0.9874,0.99,0.3333333333333333,0.9019607843137255,0.25
KC,2.005,1.249,0.9891,0.989,0.38,0.86,0.36538461538461536
LAA,-1.862,-1.296,1.0102,0.983,0.62,0.64,0.20754716981132076
LAD,1.439,0.487,0.9921,0.991,0.32,0.58,0.2
MIA,-3.214,-1.976,1.0175,0.98,0.7,0.66,0.12121212121212122
MIL,1.281,0.403,0.993,0.987,0.44680851063829785,0.7872340425531915,0.5
MIN,-0.165,-0.069,1.0009,0.986,0.48,0.74,0.18032786885245902
NYM,-1.028,-1.001,1.0056,0.985,0.5510204081632653,0.5918367346938775,0.25925925925925924
NYY,-0.219,-0.16,1.0012,0.986,0.5,0.72,0.21621621621621623
PHI,0.131,-0.359,0.9993,0.987,0.48,0.62,0.3333333333333333
PIT,-0.144,-0.16,1.0008,0.986,0.5,0.72,0.24390243902439024
SD,2.418,1.285,0.9868,0.991,0.32653061224489793,0.7551020408163265,0.35555555555555557
SEA,2.399,1.697,0.9869,0.99,0.35294117647058826,0.9019607843137255,0.3125
SF,0.322,1.057,0.9982,0.984,0.58,1.1,0.28
STL,1.273,1.466,0.9931,0.987,0.46938775510204084,1.0204081632653061,0.24444444444444444
TB,-2.887,-1.878,1.0157,0.981,0.6666666666666666,0.625,0.12903225806451613
TEX,0.252,-0.323,0.9986,0.988,0.40816326530612246,0.5714285714285714,0.2222222222222222
TOR,-1.657,-1.121,1.009,0.982,0.6326530612244898,0.7346938775510204,0.2903225806451613
WSH,-5.248,-2.988,1.0286,0.975,0.94,0.72,0.19047619047619047
